x;y;object_id;reli;b14btot;count
6.466644;46.509747;262214;52541514;9;0
6.623655;46.639625;196673;53761657;7;0
6.178227;46.416947;48;50311414;3;0
6.833204;46.471809;98362;55351469;27;6
6.538075;46.52383;327760;53091529;49;1
6.565919;46.575325;196676;53311586;14;1
6.838292;46.482631;98363;55391481;10;0
6.177987;46.315281;50;50291301;3;0
6.193543;46.316352;51;50411302;46;2
6.186887;46.323476;52;50361310;13;1
6.835841;46.703016;98365;55391726;85;0
6.184519;46.313554;229450;50341299;35;2
6.829911;46.765055;98366;55351795;3;1
6.834866;46.556379;98367;55371563;3;2
6.231448;46.480502;294993;50731484;12;0
6.185734;46.317166;56;50351303;7;2
6.674973;46.520333;294996;54141524;36;3
6.194575;46.384739;58;50431378;4;0
6.838957;46.540208;98371;55401545;3;1
6.195995;46.322677;59;50431309;5;0
6.196016;46.321777;61;50431308;6;0
6.843619;46.471864;98374;55431469;21;1
6.843718;46.462868;98375;55431459;26;4
